row,column,message
17,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2032-03-04 00:00:00
17,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2026-01-30 00:00:00
17,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1996-05-25 00:00:00
17,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-05-07 00:00:00
17,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-08-05 00:00:00
17,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-08-04 00:00:00
17,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
17,Allowed Overtime,Invalid numeric value.
18,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2031-02-15 00:00:00
18,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2026-02-16 00:00:00
18,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1975-10-12 00:00:00
18,Joining Date,Invalid date format (expected DD/MM/YYYY): 2024-09-09 00:00:00
18,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-09-09 00:00:00
18,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-09-08 00:00:00
18,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
18,Allowed Overtime,Invalid numeric value.
19,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2031-02-16 00:00:00
19,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2026-01-26 00:00:00
19,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1996-02-03 00:00:00
19,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-11-01 00:00:00
19,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-11-01 00:00:00
19,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
19,Allowed Overtime,Invalid numeric value.
20,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2035-04-08 00:00:00
20,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2026-02-27 00:00:00
20,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1996-07-27 00:00:00
20,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
20,Allowed Overtime,Invalid numeric value.
21,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2032-02-11 00:00:00
21,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2025-07-26 00:00:00
21,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1979-09-25 00:00:00
21,Joining Date,Invalid date format (expected DD/MM/YYYY): 2025-01-10 00:00:00
21,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
21,Allowed Overtime,Invalid numeric value.
22,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2033-04-02 00:00:00
22,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2025-12-10 00:00:00
22,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1991-12-11 00:00:00
22,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-11-07 00:00:00
22,Contract Expiry Date,Invalid date format (expected DD/MM/YYYY): 2026-11-06 00:00:00
22,Health Card Expiry,Invalid date format (expected DD/MM/YYYY): 2026-10-24 00:00:00
22,Allowed Overtime,Invalid numeric value.
23,Passport Expiry,Invalid date format (expected DD/MM/YYYY): 2031-02-10 00:00:00
23,ID Expiry,Invalid date format (expected DD/MM/YYYY): 2026-02-08 00:00:00
23,Date Of Birth,Invalid date format (expected DD/MM/YYYY): 1999-12-30 00:00:00
23,Joining Date,Invalid date format (expected DD/MM/YYYY): 2023-05-01 00:00:00
23,Contract date,Invalid date format (expected DD/MM/YYYY): 2025-10-12 00:00:00
